movieId,qtdRatings,summRatings,meanRatings
8015,232.00,831.50,3.58
91884,2.00,3.50,1.75
5819,50.00,161.00,3.22
47894,622.00,2317.00,3.73
41025,136.00,450.50,3.31
71533,43.00,125.00,2.91
71201,17.00,61.00,3.59
71750,6.00,17.00,2.83
2745,2502.00,9503.00,3.80
74382,10.00,30.00,3.00
127076,2.00,6.50,3.25
95147,13.00,34.50,2.65
69689,10.00,29.50,2.95
136824,1.00,4.00,4.00
138464,2.00,7.50,3.75
132192,3.00,10.00,3.33
62235,151.00,530.00,3.51
80166,516.00,1625.00,3.15
2742,47.00,126.00,2.68
7541,418.00,1275.00,3.05
74677,252.00,959.00,3.81
123361,1.00,1.50,1.50
56874,1.00,2.50,2.50
8827,1229.00,4775.00,3.89
43549,40.00,116.50,2.91
8658,60.00,143.50,2.39
113751,11.00,39.00,3.55
139046,4.00,14.50,3.62
146132,1.00,4.50,4.50
2161,11334.00,39515.50,3.49
38713,10.00,32.50,3.25
93894,6.00,16.50,2.75
69606,479.00,1382.00,2.89
111762,10.00,30.00,3.00
87435,15.00,34.50,2.30
143703,1.00,2.50,2.50
117838,5.00,17.00,3.40
109472,45.00,134.00,2.98
87079,163.00,557.00,3.42
100324,2.00,4.50,2.25
103881,1.00,2.50,2.50
357,28801.00,105113.50,3.65
25763,188.00,729.50,3.88
149574,3.00,5.50,1.83
117154,4.00,10.50,2.62
103078,3.00,7.50,2.50
145370,1.00,3.00,3.00
5991,9821.00,34949.00,3.56
68552,130.00,426.00,3.28
411,118.00,332.00,2.81
32285,24.00,82.00,3.42
137757,4.00,14.50,3.62
140170,1.00,4.00,4.00
1179,6976.00,25929.50,3.72
73881,864.00,3362.50,3.89
47005,5.00,18.50,3.70
125950,4.00,12.50,3.12
101180,12.00,33.00,2.75
88961,1.00,0.50,0.50
1224,4859.00,19913.50,4.10
146038,8.00,23.00,2.88
135763,5.00,19.50,3.90
141830,10.00,35.00,3.50
105382,1.00,3.50,3.50
105827,3.00,4.50,1.50
88179,406.00,1389.50,3.42
140265,19.00,75.00,3.95
31545,129.00,508.50,3.94
123103,4.00,11.00,2.75
37058,4.00,14.00,3.50
80480,3.00,9.50,3.17
120270,1.00,2.50,2.50
59333,565.00,1744.50,3.09
8849,65.00,157.00,2.42
129739,29.00,119.50,4.12
69370,7.00,21.50,3.07
120891,1.00,4.00,4.00
43567,4.00,14.00,3.50
137660,2.00,7.50,3.75
92498,51.00,187.00,3.67
4153,876.00,2428.50,2.77
98198,29.00,114.50,3.95
382,5876.00,17911.50,3.05
6822,50.00,166.50,3.33
80230,2.00,6.50,3.25
86841,9.00,22.50,2.50
133712,24.00,93.50,3.90
123306,2.00,5.50,2.75
7537,5.00,11.50,2.30
27909,10.00,32.50,3.25
110970,6.00,24.00,4.00
5841,522.00,1074.00,2.06
97593,10.00,34.00,3.40
60530,85.00,294.00,3.46
139557,1.00,3.50,3.50
538,5327.00,19719.00,3.70
100436,73.00,278.50,3.82
2578,102.00,308.00,3.02
97256,6.00,21.00,3.50
78903,22.00,83.00,3.77
93128,11.00,37.00,3.36
150534,1.00,3.50,3.50
147740,2.00,6.00,3.00
491,5802.00,19751.00,3.40
86014,71.00,236.00,3.32
6167,13.00,41.50,3.19
92606,17.00,58.50,3.44
81725,43.00,147.00,3.42
27889,6.00,14.50,2.42
80233,4.00,7.50,1.88
148052,1.00,1.00,1.00
64501,249.00,860.00,3.45
2074,289.00,1009.50,3.49
111551,65.00,202.00,3.11
140437,1.00,3.00,3.00
128770,1.00,2.50,2.50
131568,1.00,3.50,3.50
4654,1230.00,3399.00,2.76
2223,43.00,125.00,2.91
74547,5.00,14.00,2.80
78519,19.00,74.50,3.92
8017,151.00,521.50,3.45
4421,32.00,79.50,2.48
103057,17.00,62.00,3.65
107137,27.00,87.00,3.22
146060,1.00,3.50,3.50
3535,9915.00,35069.50,3.54
32840,417.00,1633.50,3.92
68519,198.00,455.50,2.30
135520,3.00,6.50,2.17
98339,2.00,6.00,3.00
143998,2.00,6.00,3.00
58315,508.00,1094.00,2.15
4359,1538.00,5720.00,3.72
8240,36.00,114.00,3.17
1480,1970.00,6435.50,3.27
5492,34.00,87.00,2.56
98211,3.00,10.00,3.33
108542,1.00,3.00,3.00
118974,2.00,4.50,2.25
106495,1.00,3.50,3.50
31255,195.00,630.00,3.23
6759,48.00,147.00,3.06
135619,4.00,15.00,3.75
108825,53.00,191.50,3.61
75940,11.00,36.00,3.27
66491,2.00,4.50,2.25
46808,5.00,11.50,2.30
101337,2.00,2.00,1.00
114877,2.00,7.00,3.50
139138,4.00,17.00,4.25
33001,6.00,16.50,2.75
88368,2.00,6.50,3.25
50942,33.00,101.00,3.06
6072,66.00,232.00,3.52
95963,28.00,96.00,3.43
3002,395.00,1509.50,3.82
33760,46.00,157.00,3.41
8129,90.00,243.00,2.70
31351,3.00,8.50,2.83
113981,1.00,3.00,3.00
2788,6063.00,24154.50,3.98
40226,44.00,159.00,3.61
7178,615.00,1972.00,3.21
74791,146.00,547.50,3.75
121306,2.00,8.00,4.00
136002,1.00,2.50,2.50
2659,262.00,848.50,3.24
26268,61.00,210.50,3.45
27223,15.00,54.00,3.60
6029,51.00,141.00,2.76
33090,9.00,29.00,3.22
84740,8.00,19.50,2.44
73224,3.00,8.50,2.83
2067,6444.00,25283.50,3.92
3137,133.00,433.00,3.26
5209,54.00,158.00,2.93
463,422.00,1187.50,2.81
55485,7.00,24.50,3.50
90364,1.00,3.00,3.00
98335,1.00,4.50,4.50
3108,8450.00,30424.00,3.60
4104,1112.00,2410.00,2.17
65740,58.00,121.00,2.09
31045,27.00,61.50,2.28
72872,6.00,16.00,2.67
139737,1.00,0.50,0.50
4665,304.00,746.50,2.46
120807,59.00,234.50,3.97
86642,46.00,149.50,3.25
98273,4.00,13.50,3.38
79473,5.00,18.00,3.60
86091,10.00,29.00,2.90
103308,6.00,16.50,2.75
142778,2.00,6.50,3.25
374,5687.00,13891.50,2.44
63312,61.00,201.00,3.30
50572,18.00,50.50,2.81
6865,17.00,50.00,2.94
5189,91.00,230.00,2.53
58816,18.00,59.00,3.28
97697,18.00,54.00,3.00
77893,20.00,67.00,3.35
129763,1.00,2.00,2.00
1665,3757.00,10597.00,2.82
4681,2330.00,7390.50,3.17
5346,388.00,937.00,2.41
6266,1072.00,3356.50,3.13
68099,207.00,802.00,3.87
6089,32.00,77.50,2.42
2582,564.00,1732.00,3.07
3709,693.00,1656.00,2.39
83337,5.00,14.00,2.80
58661,2.00,4.50,2.25
139241,1.00,0.50,0.50
62206,2.00,9.50,4.75
96954,2.00,5.50,2.75
123235,1.00,2.50,2.50
6047,115.00,411.50,3.58
105250,103.00,413.00,4.01
56456,5.00,9.50,1.90
100294,1.00,3.50,3.50
90813,4.00,14.00,3.50
150846,1.00,4.00,4.00
272,8303.00,31067.00,3.74
77818,27.00,87.00,3.22
114698,1.00,4.50,4.50
4906,6.00,10.50,1.75
136974,2.00,2.50,1.25
5368,148.00,575.00,3.89
447,227.00,571.00,2.52
5746,64.00,157.50,2.46
33134,49.00,170.50,3.48
129510,3.00,6.00,2.00
112399,75.00,280.50,3.74
114142,1.00,3.00,3.00
146423,6.00,21.50,3.58
111111,3.00,10.50,3.50
25874,22.00,68.50,3.11
86145,11.00,36.00,3.27
110459,6.00,15.00,2.50
26465,66.00,156.50,2.37
121495,2.00,6.00,3.00
85275,3.00,11.00,3.67
118568,1.00,2.00,2.00
80162,50.00,151.50,3.03
105423,6.00,22.00,3.67
48299,3.00,10.00,3.33
96905,2.00,6.00,3.00
4440,530.00,1904.50,3.59
150594,1.00,3.50,3.50
90651,7.00,20.50,2.93
56563,335.00,1240.50,3.70
94130,72.00,245.00,3.40
125435,1.00,3.00,3.00
81125,2.00,1.50,0.75
149796,1.00,3.00,3.00
149366,2.00,4.00,2.00
108947,2.00,6.50,3.25
122268,1.00,1.00,1.00
2717,9155.00,27406.00,2.99
112495,15.00,57.50,3.83
141926,8.00,30.00,3.75
88038,1.00,4.00,4.00
148857,1.00,5.00,5.00
84836,2.00,3.50,1.75
117320,5.00,16.00,3.20
38839,6.00,18.00,3.00
146058,1.00,3.00,3.00
107561,2.00,7.50,3.75
56169,387.00,1200.50,3.10
140247,225.00,796.00,3.54
6092,149.00,409.50,2.75
77921,6.00,19.50,3.25
114188,1.00,3.00,3.00
114138,1.00,3.50,3.50
74075,59.00,119.50,2.03
130452,151.00,489.50,3.24
26380,35.00,95.50,2.73
100291,2.00,7.00,3.50
118908,1.00,4.50,4.50
115205,1.00,2.50,2.50
109463,12.00,38.50,3.21
56602,7.00,24.50,3.50
33251,13.00,50.50,3.88
135703,1.00,0.50,0.50
1081,4065.00,14278.50,3.51
5993,210.00,699.50,3.33
1697,25.00,59.50,2.38
53853,9.00,32.50,3.61
90535,2.00,5.00,2.50
115611,4.00,4.50,1.12
57269,6.00,19.50,3.25
104677,4.00,3.00,0.75
64999,30.00,45.00,1.50
33919,5.00,10.00,2.00
144,4621.00,16031.00,3.47
47150,80.00,286.00,3.58
62390,24.00,70.00,2.92
111592,11.00,43.00,3.91
5626,19.00,65.50,3.45
117680,1.00,4.00,4.00
69917,26.00,53.50,2.06
3302,280.00,956.50,3.42
98085,13.00,30.50,2.35
93168,3.00,10.00,3.33
66385,167.00,594.50,3.56
97115,1.00,4.00,4.00
134006,1.00,3.00,3.00
102976,2.00,8.00,4.00
138804,4.00,9.50,2.38
142809,1.00,5.00,5.00
145584,1.00,3.00,3.00
6750,512.00,1589.00,3.10
86330,13.00,49.50,3.81
8962,29.00,94.50,3.26
8674,72.00,231.00,3.21
98626,9.00,29.00,3.22
131852,1.00,2.50,2.50
2897,192.00,673.50,3.51
341,407.00,1458.50,3.58
26294,279.00,990.00,3.55
66234,30.00,88.00,2.93
111040,1.00,0.50,0.50
137437,1.00,3.00,3.00
76,3609.00,10875.50,3.01
90719,433.00,1357.50,3.14
25977,77.00,250.00,3.25
143713,5.00,16.00,3.20
109280,19.00,66.00,3.47
136684,2.00,6.00,3.00
89478,6.00,13.00,2.17
