movieId,qtdTags
661,71
106988,3
113001,6
4847,33
95832,4
6925,7
146291,1
101629,1
113244,2
102445,314
26760,13
2702,7
4376,13
136992,6
88129,685
6410,8
91995,9
96121,8
2354,7
101717,3
83096,3
51638,13
87010,1
120843,1
1591,22
26169,7
6438,3
56145,256
3948,148
43177,16
43419,47
437,2
46318,2
87595,1
27734,2
2176,119
7895,14
1238,34
6100,8
51694,24
5585,13
26191,2
92751,2
95296,1
116841,10
7,49
3171,12
72018,5
5144,7
88171,3
26005,8
25840,5
5410,39
27592,131
105563,6
26318,10
60461,10
100050,4
102323,1
6378,318
6626,1
115824,8
5434,10
52942,1
99045,3
4084,14
4187,22
84262,2
139329,2
86434,5
8576,15
87869,126
5317,1
59602,28
109450,1
127172,4
101079,11
1812,17
31195,2
40494,12
112477,1
32082,3
26819,29
8696,2
2226,2
116529,2
89277,16
49688,10
106256,4
26432,13
93693,2
114142,1
4176,6
68685,6
120246,1
31337,2
7313,5
3069,1
114652,1
4510,1
45664,4
78332,7
88356,3
115534,11
27604,12
6571,3
95149,1
91612,1
3210,102
139644,75
993,17
91784,10
32347,1
132468,4
116321,1
4701,84
6882,43
112868,37
7315,4
126387,5
107477,2
52462,16
100302,29
7493,18
48660,41
151054,1
119714,4
136608,2
1991,44
32060,6
121035,1
7952,1
37733,133
7057,32
45079,2
127136,6
93212,3
5899,26
6221,1
5856,33
60391,1
6537,233
121699,1
8930,10
4513,1
40033,19
4045,6
100440,32
86909,2
33316,2
127050,1
72287,3
6659,40
3577,6
26550,24
33261,3
95732,2
148160,8
112436,3
4941,39
47477,2
6721,18
115220,8
1128,19
4783,13
109887,4
121863,1
102686,23
101612,15
70656,7
126579,1
133677,2
85574,3
7325,66
7565,2
31487,3
109074,11
146,4
86753,4
1568,1
334,32
818,8
53152,3
114244,3
45656,6
83291,2
3503,202
69487,3
26093,4
7723,1
108518,1
3404,4
1632,1
115277,1
83326,2
99669,1
4927,26
70706,1
97998,1
151072,1
5988,3
134006,1
60183,2
103528,1
127084,4
5398,8
692,7
116307,3
3959,30
77370,3
32109,1
95837,3
107903,1
810,10
118922,7
3841,11
61160,56
1189,22
4932,21
2372,4
66861,1
69134,246
3781,5
88672,24
122517,2
296,3558
109436,1
5022,24
54239,3
107690,1
85316,12
40851,33
88543,3
5230,4
90112,1
103873,1
106510,1
86880,107
52319,33
6872,44
50349,4
96547,3
91137,2
31960,1
1334,28
26479,26
27255,12
32170,6
74319,7
91490,23
47150,4
129241,3
527,921
62644,97
3241,8
111237,2
4585,8
133925,1
4602,10
128506,3
80761,1
8791,1
51545,1
2762,862
89449,8
26530,8
7582,4
50594,29
2375,20
4956,13
61707,1
116837,4
55820,665
104691,4
131054,1
1518,5
89377,4
5391,23
4637,9
8878,2
37976,11
6719,1
6803,17
72641,212
61406,16
5767,17
5582,3
53919,4
2469,18
105098,3
128868,1
120930,5
6595,19
5509,3
117726,6
1973,6
3701,18
123947,8
5165,49
68901,3
87033,1
36541,3
54272,127
6639,83
52413,5
3360,44
116977,9
138632,11
49278,130
126919,4
92935,1
151107,2
43682,2
132282,1
4130,2
6400,9
114834,14
32168,3
6613,3
25735,1
150362,3
120311,9
132184,3
133457,3
27073,9
134250,1
52279,4
31932,1
100306,6
115341,1
7365,45
105509,8
5726,5
31104,5
122591,1
44597,14
130682,3
34292,32
50641,56
3076,15
88670,1
5507,64
57027,11
992,1
4108,6
6668,22
8801,5
1887,6
1946,23
87085,4
58174,1
89139,2
78097,1
7285,71
3567,4
33267,2
64918,2
78459,1
7481,41
348,32
5760,8
75962,1
85728,1
151111,1
1998,9
69931,2
117537,2
927,25
118892,2
60393,3
105420,6
115147,15
140565,6
4952,1
8990,1
108546,7
108514,19
1617,443
55253,62
84738,2
31427,17
48543,36
6596,9
1454,7
72714,20
41828,3
5235,22
33226,3
117640,1
4566,6
58404,2
5494,8
562,89
997,3
27003,4
103422,3
110531,1
77217,2
8663,12
84273,41
68486,35
1487,10
70130,4
4354,7
71343,1
3498,48
534,20
2848,14
3732,8
7180,2
2676,3
77191,34
60482,12
6390,16
103776,3
117146,3
103444,8
113159,6
133185,5
148926,2
5414,6
38384,7
71808,1
5012,31
82749,3
696,4
56835,2
104312,52
26985,9
116235,1
111852,1
123467,4
2744,1
61132,244
2393,78
58803,157
91286,8
2967,16
112840,1
31260,5
1065,1
114267,2
123337,1
127230,2
40629,314
106542,6
1364,1
103306,86
8168,6
119832,1
91610,3
1687,25
3089,88
76753,6
974,2
3965,9
132520,2
1747,131
53956,125
5748,15
51991,23
86955,1
6977,6
60014,1
132735,1
91485,76
367,223
5935,15
115145,6
89490,9
4197,3
7206,35
49754,1
126482,4
137409,1
8457,4
66618,6
5870,1
4837,8
58850,5
5943,17
5037,5
4755,2
27624,3
151503,3
2431,88
3910,227
6633,1
26616,11
769,1
140703,2
2291,486
121231,161
117517,8
43710,8
26162,2
3219,12
27369,19
73774,1
117706,1
7236,32
3298,17
26497,7
114793,5
64900,5
72216,1
120315,9
69,30
78264,6
7939,32
7408,6
132494,3
81738,1
141882,1
97752,602
109941,6
125970,3
107449,4
5458,2
103621,5
124394,3
8641,208
2033,29
2819,108
3396,59
90471,24
32866,3
2875,5
133745,1
106498,9
51077,104
26068,2
94978,3
115967,7
84807,3
121841,1
81786,8
2242,1
61934,2
113286,1
108566,6
5091,6
96417,88
26708,2
61267,9
84248,5
64241,2
2673,3
1961,317
89804,108
103066,3
7279,1
90397,1
7112,4
80763,2
125906,6
72718,2
111375,9
82143,32
5488,8
26804,3
56370,18
4918,3
27888,12
88812,34
112421,53
121171,5
7002,11
4441,13
109231,1
3993,94
72703,18
3044,47
5068,23
6766,1
26587,24
26082,109
77829,18
30745,6
83435,1
129425,1
2759,9
798,18
101214,1
55492,7
108253,7
87558,1
